model	term	hazard_ratio	ci_lower	ci_upper	coefficient	standard_error	z_statistic	p_value	method	clinical_conclusion
univariate:group	grouplow	0.194283980515711	0.0214376531832648	1.76074613962389	-1.63843437316336	1.12459823380906	-1.45690640791238	0.145142216976302	survival::coxph	not_generated
univariate:age	age	1.1501339058665	0.985615683066889	1.34211338572417	0.139878375480479	0.078760197036772	1.77600337154022	0.075732361438037	survival::coxph	not_generated
univariate:stage	stageII	0.543547944844106	0.0338808172096228	8.72010750261183	-0.60963736132703	1.41597955337142	-0.430541076582281	0.666802093170274	survival::coxph	not_generated
univariate:stage	stageIII	8.52632413810317	0.610838996795563	119.013690496796	2.14315833522571	1.34496359027673	1.59346940743931	0.11105492600373	survival::coxph	not_generated
univariate:stage	stageIV	6.75227573600919	0.286270228363161	159.266396215184	1.90987959413891	1.61263098654347	1.18432524866247	0.236284337850697	survival::coxph	not_generated
univariate:biomarker	biomarker	1.55636102323193	0.920698363715906	2.63089381940397	0.442350418915638	0.267848403829821	1.65149544514996	0.0986374500563217	survival::coxph	not_generated
